ID_CIRCUITO,RF_CIRCUITO,NO_CIRCUITO,LOCALIZACAO
1,albert_park,"Albert Park Grand Prix Circuit",Melbourne
2,sepang,"Sepang International Circuit","Kuala Lumpur"
3,bahrain,"Bahrain International Circuit",Sakhir
4,catalunya,"Circuit de Barcelona-Catalunya",MontmelÃ³
5,istanbul,"Istanbul Park",Istanbul
6,monaco,"Circuit de Monaco",Monte-Carlo
7,villeneuve,"Circuit Gilles Villeneuve",Montreal
8,magny_cours,"Circuit de Nevers Magny-Cours","Magny Cours"
9,silverstone,"Silverstone Circuit",Silverstone
10,hockenheimring,Hockenheimring,Hockenheim
11,hungaroring,Hungaroring,Budapest
12,valencia,"Valencia Street Circuit",Valencia
13,spa,"Circuit de Spa-Francorchamps",Spa
14,monza,"Autodromo Nazionale di Monza",Monza
15,marina_bay,"Marina Bay Street Circuit","Marina Bay"
16,fuji,"Fuji Speedway",Oyama
17,shanghai,"Shanghai International Circuit",Shanghai
18,interlagos,"AutÃ³dromo JosÃ© Carlos Pace","SÃ£o Paulo"
19,indianapolis,"Indianapolis Motor Speedway",Indianapolis
20,nurburgring,NÃ¼rburgring,NÃ¼rburg
21,imola,"Autodromo Enzo e Dino Ferrari",Imola
22,suzuka,"Suzuka Circuit",Suzuka
23,osterreichring,A1-Ring,Spielburg
24,yas_marina,"Yas Marina Circuit","Abu Dhabi"
25,galvez,"AutÃ³dromo Juan y Oscar GÃ¡lvez","Buenos Aires"
26,jerez,"Circuito de Jerez","Jerez de la Frontera"
27,estoril,"AutÃ³dromo do Estoril",Estoril
28,okayama,"Okayama International Circuit",Okayama
29,adelaide,"Adelaide Street Circuit",Adelaide
30,kyalami,Kyalami,Midrand
31,donington,"Donington Park","Castle Donington"
32,rodriguez,"AutÃ³dromo Hermanos RodrÃ­guez","Mexico City"
33,phoenix,"Phoenix street circuit",Phoenix
34,ricard,"Circuit Paul Ricard","Le Castellet"
35,yeongam,"Korean International Circuit","Yeongam County"
36,jacarepagua,"AutÃ³dromo Internacional Nelson Piquet","Rio de Janeiro"
37,detroit,"Detroit Street Circuit",Detroit
38,brands_hatch,"Brands Hatch",Kent
39,zandvoort,"Circuit Park Zandvoort",Zandvoort
40,zolder,Zolder,Heusden-Zolder
41,dijon,Dijon-Prenois,Dijon
42,dallas,"Fair Park",Dallas
43,long_beach,"Long Beach",California
44,las_vegas,"Las Vegas Street Circuit",Nevada
45,jarama,Jarama,Madrid
46,watkins_glen,"Watkins Glen","New York State"
47,anderstorp,"Scandinavian Raceway",Anderstorp
48,mosport,"Mosport International Raceway",Ontario
49,montjuic,MontjuÃ¯c,Barcelona
50,nivelles,Nivelles-Baulers,Brussels
51,charade,"Charade Circuit",Clermont-Ferrand
52,tremblant,"Circuit Mont-Tremblant",Quebec
53,essarts,Rouen-Les-Essarts,Rouen
54,lemans,"Le Mans","Le Mans"
55,reims,Reims-Gueux,Reims
56,george,"Prince George Circuit","Eastern Cape Province"
57,zeltweg,Zeltweg,Styria
58,aintree,Aintree,Liverpool
59,boavista,"Circuito da Boavista",Oporto
60,riverside,"Riverside International Raceway",California
61,avus,AVUS,Berlin
62,monsanto,"Monsanto Park Circuit",Lisbon
63,sebring,"Sebring International Raceway",Florida
64,ain-diab,"Ain Diab",Casablanca
65,pescara,"Pescara Circuit",Pescara
66,bremgarten,"Circuit Bremgarten",Bern
67,pedralbes,"Circuit de Pedralbes",Barcelona
68,buddh,"Buddh International Circuit","Uttar Pradesh"
69,americas,"Circuit of the Americas",Austin
70,red_bull_ring,"Red Bull Ring",Spielburg
71,sochi,"Sochi Autodrom",Sochi
72,port_imperial,"Port Imperial Street Circuit","New Jersey"
73,BAK,"Baku City Circuit",Baku
74,hanoi,"Hanoi Street Circuit",Hanoi
75,portimao,"AutÃ³dromo Internacional do Algarve",PortimÃ£o
76,mugello,"Autodromo Internazionale del Mugello",Mugello
77,jeddah,"Jeddah Street Circuit",Jeddah
